    11     7   -5.526605e-06    3.199274e-07   -3.626295e-06    3.333907e-07
    11     8   -9.955227e-07    3.140504e-08    3.075856e-07    3.195343e-08
    11     9   -2.935244e-08    3.282441e-09   -5.945524e-08    3.413164e-09
    11    10   -2.315371e-09    4.216216e-10   -5.926497e-09    4.132091e-10
    11    11    2.828675e-09    6.353309e-11   -1.199417e-09    6.272027e-11
    12     0   -4.628103e+01    2.464840e+00    0.000000e+00    0.000000e+00
    12     1   -8.282729e-01    4.827966e-01   -2.614110e+00    3.471174e-01
    12     2    9.306145e-02    3.249891e-02    5.514074e-01    3.319675e-02
    12     3    1.140694e-02    2.619873e-03    9.239087e-03    2.524946e-03
    12     4   -2.881821e-03    2.334020e-04    5.921842e-04    2.490454e-04
    12     5    7.943554e-05    1.924370e-05    2.079285e-04    1.723840e-05
    12     6   -9.420504e-07    1.680876e-06    2.089017e-05    1.757208e-06
    12     7   -7.480234e-07    1.803739e-07   -2.703724e-07    1.786948e-07
    12     8   -9.890682e-08    1.568277e-08    4.511347e-08    1.712722e-08
    12     9    1.225326e-08    1.497246e-09    2.669541e-08    1.512486e-09
    12    10   -1.957646e-09    1.596399e-10    1.294526e-10    1.502831e-10
    12    11    1.688721e-12    1.895182e-11   -5.289861e-10    1.857940e-11
    12    12    6.958415e-11    2.769599e-12   -1.113966e-10    2.730298e-12
    13     0   -4.368249e+01    2.840801e+00    0.000000e+00    0.000000e+00
    13     1   -2.064176e-01    3.975003e-01   -5.415341e+00    3.364849e-01
    13     2   -1.167136e-01    3.405208e-02   -3.716565e-01    2.954617e-02
    13     3    2.997230e-03    1.924863e-03   -2.024831e-02    2.153214e-03
    13     4   -1.577084e-03    1.829045e-04   -4.311057e-04    1.738734e-04
    13     5    5.892176e-05    1.325452e-05    8.260421e-05    1.445029e-05
    13     6   -1.343166e-05    1.036446e-06   -5.990504e-06    9.945740e-07
    13     7    2.944704e-07    9.997638e-08    4.767444e-07    9.591122e-08
    13     8   -9.151839e-08    8.646304e-09    9.724547e-09    9.457799e-09
    13     9   -3.618165e-09    7.453568e-10    1.014344e-08    7.536882e-10
    13    10    8.395964e-10    6.725340e-11   -1.185461e-09    6.612277e-11
    13    11    4.710560e-12    6.957564e-12   -7.320006e-11    6.345240e-12
    13    12   -2.234045e-12    7.920055e-13    4.552983e-12    7.583883e-13
    13    13   -9.469094e-13    1.094613e-13   -6.612070e-12    1.112040e-13
    14     0   -3.645524e+01    2.855422e+00    0.000000e+00    0.000000e+00
    14     1    1.904703e-01    3.964178e-01    3.239459e+00    3.232783e-01
    14     2   -3.435618e-01    2.800184e-02    3.758894e-01    2.636882e-02
    14     3   -4.504084e-03    1.736175e-03    2.831968e-02    1.925232e-03
    14     4   -2.872962e-04    1.317456e-04   -7.189947e-04    1.172215e-04
    14     5    4.010148e-05    9.593458e-06    6.408766e-05    1.114432e-05
    14     6   -1.733617e-06    6.947996e-07   -3.861173e-06    6.729560e-07
    14     7   -1.832045e-07    5.223473e-08    5.613988e-07    5.416981e-08
    14     8   -4.389791e-08    4.954331e-09   -3.580914e-08    4.778088e-09
    14     9   -1.419466e-09    3.860786e-10    1.065257e-09    4.098204e-10
    14    10    4.123490e-11    3.114869e-11   -8.693276e-11    3.128164e-11
    14    11   -2.744171e-11    2.855785e-12    2.650825e-11    2.521513e-12
    14    12   -4.046653e-12    2.672625e-13    3.177437e-12    2.544149e-13
    14    13    7.075404e-13    2.947957e-14    1.205791e-13    2.914351e-14
    14    14   -5.296861e-14    4.086920e-15   -3.971795e-15    4.077606e-15
    15     0   -2.254917e+01    2.787313e+00    0.000000e+00    0.000000e+00
    15     1    3.196180e+00    4.380340e-01    4.112788e+00    3.117776e-01
    15     2   -6.387557e-02    2.230862e-02   -5.271903e-02    2.328523e-02
    15     3   -2.863249e-04    1.626728e-03    1.692326e-04    1.663264e-03
    15     4   -6.090671e-04    9.588339e-05    1.955520e-04    9.610451e-05
    15     5    5.620099e-05    7.334710e-06   -2.379875e-05    7.184574e-06
    15     6    1.455442e-06    4.953074e-07   -8.424000e-06    5.204795e-07
    15     7    3.681993e-07    3.101377e-08    4.583368e-08    3.269197e-08
    15     8    3.366430e-08    2.662751e-09   -4.740829e-10    2.530899e-09
    15     9    3.056443e-09    2.122037e-10    8.441970e-10    2.184042e-10
    15    10    1.264556e-11    1.615118e-11    2.530201e-11    1.610856e-11
